r,z
0.0,0.050012978822766146
0.00013636363636363637,0.0500073562609068
0.00027272727272727274,0.05000139475464628
0.0004090909090909091,0.04999500010210962
0.0005454545454545455,0.04998808341868618
0.0006818181818181819,0.04998056097647293
0.0008181818181818182,0.04997235404371777
0.0009545454545454546,0.04996338872426284
0.001090909090909091,0.04995359579698789
0.0012272727272727272,0.0499429105552535
0.0013636363636363637,0.04993127264634454
0.0015,0.04991862591091334
0.0016363636363636363,0.04990491822242314
0.0017727272727272728,0.04989010132659133
0.0019090909090909091,0.049874130680832775
0.0020454545454545456,0.04985696529370318
0.002181818181818182,0.04983856756434237
0.002318181818181818,0.049818903121917626
0.0024545454545454545,0.049797940665067
0.002590909090909091,0.049775651801342635
0.0027272727272727275,0.0497520108866541
0.0028636363636363638,0.04972699486471164
0.003,0.049700583106469645
0.0031363636363636364,0.04967275724956981
0.0032727272727272726,0.049643501037784525
0.0034090909090909094,0.04961280016046023
0.0035454545454545456,0.04958064209196065
0.003681818181818182,0.049547015931110217
0.0038181818181818182,0.049511912240637265
0.0039545454545454545,0.04947532288661747
0.004090909090909091,0.0494372408779171
0.004227272727272727,0.04939766020563639
0.004363636363636364,0.04935657568255275
0.0045000000000000005,0.04931398278256425
0.004636363636363636,0.04926987748013278
0.004772727272727273,0.049224256089727476
0.004909090909090909,0.04917711510526801
0.005045454545454546,0.04912845103956788
0.005181818181818182,0.049078260263777776
0.005318181818181818,0.04902653884682888
0.005454545454545455,0.048973282394876146
0.005590909090909091,0.0489184858907417
0.0057272727272727275,0.04886214353335814
0.005863636363636364,0.048804248577211766
0.006,0.04874479317178601
0.006136363636363637,0.048683768201004694
0.006272727272727273,0.04862116312267543
0.006409090909090909,0.04855696580793278
0.006545454545454545,0.04849116238068177
0.006681818181818182,0.04842373705704103
0.006818181818181819,0.04835467198478631
0.006954545454545455,0.04828394708279358
0.007090909090909091,0.04821153988048252
0.007227272727272727,0.048137425357259754
0.007363636363636364,0.04806157578196222
0.007500000000000001,0.04798396055230043
0.0076363636363636364,0.04790454603430189
0.007772727272727273,0.04782329540175427
0.007909090909090909,0.047740168475648874
0.008045454545454547,0.047655121563623865
0.008181818181818182,0.047568107299407636
0.008318181818181818,0.047479074482262074
0.008454545454545454,0.04738796791642595
0.008590909090909092,0.04729472825055821
0.008727272727272728,0.04719929181718124
0.008863636363636363,0.047101590472124276
0.009000000000000001,0.04700155143396667
0.009136363636363637,0.04689909712348123
0.009272727272727273,0.04679414500307753
0.009409090909090909,0.04668660741624522
0.009545454545454546,0.04657639142699736
0.009681818181818182,0.04646339865931376
0.009818181818181818,0.04634752513658425
0.009954545454545456,0.04622866112105207
0.010090909090909091,0.04610669095325708
0.010227272727272727,0.04598149289147923
0.010363636363636365,0.04585293895118171
0.0105,0.04572089474445444
0.010636363636363637,0.045585219319457256
0.010772727272727272,0.0454457649998633
0.01090909090909091,0.04530237722430232
0.011045454545454546,0.04515489438580399
0.011181818181818182,0.04500314767124122
0.01131818181818182,0.044846960900773516
0.011454545454545455,0.044686150367290255
0.011590909090909091,0.04452052467585399
0.011727272727272729,0.04434988458314387
0.011863636363636364,0.04417402283689882
0.012,0.04399272401536101
0.012136363636363636,0.04380576436671899
0.012272727272727274,0.04361291164855123
0.01240909090909091,0.04341392496726924
0.012545454545454545,0.04320855461756104
0.012681818181818183,0.04299654192183436
0.012818181818181819,0.042777619069660065
0.012954545454545455,0.0425515089572154
0.01309090909090909,0.042317925026727335
0.013227272727272728,0.0420765711059159
0.013363636363636364,0.04182714124743749
0.0135,0.04156931956832818
