% Model,solenoidCoil.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 25 2020, 11:07"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,"磁束密度, z 成分"
% Length unit,m
% R,Z,mf.Bz (T) @ t=1
1.1250000000000001E-4,-0.0995,-1.1783248348292412E-5
1.1250000000000001E-4,-0.0985,-5.100797568098247E-4
1.1250000000000001E-4,-0.0975,-0.006423468222107353
1.1250000000000001E-4,-0.0965,0.9717134097557524
1.1250000000000001E-4,-0.0955,0.9703229176825526
1.1250000000000001E-4,-0.0945,0.9688945931225259
1.1250000000000001E-4,-0.0935,0.967355563447668
1.1250000000000001E-4,-0.0925,0.9657160101314272
1.1250000000000001E-4,-0.0915,0.963963850706863
1.1250000000000001E-4,-0.0905,0.9620863938280863
1.1250000000000001E-4,-0.0895,0.960076230532507
1.1250000000000001E-4,-0.0885,0.9579135670795955
1.1250000000000001E-4,-0.0875,0.9555943282261703
1.1250000000000001E-4,-0.0865,0.953091469760018
1.1250000000000001E-4,-0.08549999999999999,0.9503999942289463
1.1250000000000001E-4,-0.08449999999999999,0.9474855162866235
1.1250000000000001E-4,-0.08349999999999999,0.9443432499616414
1.1250000000000001E-4,-0.08249999999999999,0.9409286758404809
1.1250000000000001E-4,-0.08149999999999999,0.9372370871529414
1.1250000000000001E-4,-0.08049999999999999,0.9332108915552825
1.1250000000000001E-4,-0.07949999999999999,0.9288460820232046
1.1250000000000001E-4,-0.07849999999999999,0.924067183315912
1.1250000000000001E-4,-0.07749999999999999,0.9188725556993174
1.1250000000000001E-4,-0.07650000000000001,0.9131611923694924
1.1250000000000001E-4,-0.0755,0.9069385704972568
1.1250000000000001E-4,-0.07450000000000001,0.9000518782829071
1.1250000000000001E-4,-0.0735,0.892556379567208
1.1250000000000001E-4,-0.07250000000000001,0.884186373449231
1.1250000000000001E-4,-0.07150000000000001,0.8750920121945609
1.1250000000000001E-4,-0.07050000000000001,0.8649663030196819
1.1250000000000001E-4,-0.0695,0.8537464953096996
1.1250000000000001E-4,-0.0685,0.8415068218165893
1.1250000000000001E-4,-0.0675,0.8276020095123213
1.1250000000000001E-4,-0.0665,0.8125901985705984
1.1250000000000001E-4,-0.0655,0.7958154985733756
1.1250000000000001E-4,-0.0645,0.7770904125452734
1.1250000000000001E-4,-0.0635,0.7566293542227078
1.1250000000000001E-4,-0.0625,0.7337953422279186
1.1250000000000001E-4,-0.0615,0.7086870414441524
1.1250000000000001E-4,-0.0605,0.6813823100767035
1.1250000000000001E-4,-0.0595,0.6511144672947674
1.1250000000000001E-4,-0.058499999999999996,0.6187193026658591
1.1250000000000001E-4,-0.057499999999999996,0.5836561044947485
1.1250000000000001E-4,-0.056499999999999995,0.5460687316211204
1.1250000000000001E-4,-0.055499999999999994,0.5065701494045883
1.1250000000000001E-4,-0.05449999999999999,0.46522576894405465
1.1250000000000001E-4,-0.05349999999999999,0.4227286567413755
1.1250000000000001E-4,-0.05249999999999999,0.37994232762743496
1.1250000000000001E-4,-0.051500000000000004,0.33752039631486075
1.1250000000000001E-4,-0.05049999999999999,0.29585229932469015
1.1250000000000001E-4,-0.0495,0.2562239650468656
1.1250000000000001E-4,-0.04849999999999999,0.21942623412164775
1.1250000000000001E-4,-0.0475,0.18513157985224682
